"PSU_ID","component_tracts","n_tracts","NAME","TotHH","TotPerson","TotAdult18plus","n_BG","Q1_18_34","Q2_35_49","Q3_50_64","Q4_65plus","Si","pi1","w1_base"
"26163500100","26163500100",1,"Census Tract 5001; Wayne County; Michigan",1492,3996,2752,2,1087,701,672,292,12.3832114471254,0.229908759993101,4.34955153526994
"26163500200","26163500200",1,"Census Tract 5002; Wayne County; Michigan",1076,3037,2088,2,749,554,496,289,9.40557997324471,0.174625559605269,5.72653855632843
"26163500300","26163500300",1,"Census Tract 5003; Wayne County; Michigan",917,2149,1464,2,598,375,354,137,6.58999820533306,0.122351000967249,8.17320652952958
"26163500400","26163500400",1,"Census Tract 5004; Wayne County; Michigan",406,751,551,3,143,166,146,96,2.48790777800769,0.0461909089303099,21.6492817127444
"26163500500","26163500500",1,"Census Tract 5005; Wayne County; Michigan",644,1507,1076,2,402,236,268,170,4.82013505949925,0.0894914279111337,11.1742546000385
"26163500600","26163500600",1,"Census Tract 5006; Wayne County; Michigan",1178,2692,1860,4,706,454,474,226,8.3551918995993,0.155123880210186,6.44646071671908
"26163500700","26163500700",1,"Census Tract 5007; Wayne County; Michigan",1679,4109,2779,4,1008,778,702,291,12.5341450756678,0.232711018803558,4.29717511934468
"26163500800","26163500800",1,"Census Tract 5008; Wayne County; Michigan",1009,2569,1784,2,636,483,471,194,8.03454020347099,0.149170607574786,6.70373350526615
"26163500900","26163500900",1,"Census Tract 5009; Wayne County; Michigan",1540,3706,2573,2,940,679,647,307,11.5841879968936,0.215073957936092,4.64956338552688
"26163501000","26163501000",1,"Census Tract 5010; Wayne County; Michigan",1163,2945,2029,2,752,497,521,259,9.11393360891149,0.16921080477639,5.9097880972878
"26163501100","26163501100",1,"Census Tract 5011; Wayne County; Michigan",1345,3328,2287,4,850,573,514,350,10.2896947054739,0.19104018053348,5.23450091602456
"26163501200_26163501300","26163501200,26163501300",2,"Census Tract 5012; Wayne County; Michigan | Census Tract 5013; Wayne County; Michigan",2074,4687,3277,4,1195,809,787,486,14.7296911352183,0.273473891521537,3.65665619645174
"26163501400","26163501400",1,"Census Tract 5014; Wayne County; Michigan",1505,3624,2685,3,867,686,684,448,12.0705553074988,0.224103934187397,4.46221528250279
"26163501500","26163501500",1,"Census Tract 5015; Wayne County; Michigan",1578,4056,2893,3,1027,823,701,342,13.0582801957526,0.242442198477107,4.12469448916677
"26163501600","26163501600",1,"Census Tract 5016; Wayne County; Michigan",907,1955,1467,2,484,338,413,232,6.57082698462515,0.121995064900153,8.19705289569255
"26163501700","26163501700",1,"Census Tract 5017; Wayne County; Michigan",1045,2218,1765,2,481,401,465,418,7.90267525997519,0.146722381137312,6.81559276947759
"26163501800","26163501800",1,"Census Tract 5018; Wayne County; Michigan",1896,4117,3202,2,979,759,852,612,14.3565997446571,0.266547014811542,3.75168335952677
"26163501900","26163501900",1,"Census Tract 5019; Wayne County; Michigan",1112,2490,1720,2,591,475,441,213,7.75201443262733,0.143925187199134,6.94805419023988
"26163502000_26163502600","26163502000,26163502600",2,"Census Tract 5020; Wayne County; Michigan | Census Tract 5026; Wayne County; Michigan",2312,5179,3607,7,1184,920,860,643,16.2235838384019,0.301209751513769,3.31994563580485
"26163502700","26163502700",1,"Census Tract 5027; Wayne County; Michigan",1278,2359,1852,4,506,429,560,357,8.28662403264702,0.15385083780647,6.49980210870159
"26163503100","26163503100",1,"Census Tract 5031; Wayne County; Michigan",1122,2996,2221,2,708,506,611,396,9.94597936199653,0.184658704391616,5.41539595057076
"26163503200","26163503200",1,"Census Tract 5032; Wayne County; Michigan",1202,3002,2068,2,783,572,498,215,9.32847520288118,0.173194019635244,5.77387141949853
"26163503300","26163503300",1,"Census Tract 5033; Wayne County; Michigan",1360,3407,2308,2,805,644,547,312,10.4122529586656,0.193315617413366,5.17288780586052
"26163503400_26163503500","26163503400,26163503500",2,"Census Tract 5034; Wayne County; Michigan | Census Tract 5035; Wayne County; Michigan",1733,3595,2610,4,884,688,663,375,11.7464519609615,0.218086577637347,4.58533491989079
"26163503600_26163504000","26163503600,26163504000",2,"Census Tract 5036; Wayne County; Michigan | Census Tract 5040; Wayne County; Michigan",1112,2569,1852,3,626,488,406,332,8.34375889422581,0.15491161313394,6.45529395614373
"26163503900_26163504100","26163503900,26163504100",2,"Census Tract 5039; Wayne County; Michigan | Census Tract 5041; Wayne County; Michigan",1437,2903,2160,3,699,495,548,418,9.68114140966557,0.179741678991581,5.56353988462988
"26163504200_26163504300","26163504200,26163504300",2,"Census Tract 5042; Wayne County; Michigan | Census Tract 5043; Wayne County; Michigan",1787,3478,2620,4,818,635,665,502,11.7595551759718,0.218329854103053,4.58022565951056
"26163504400","26163504400",1,"Census Tract 5044; Wayne County; Michigan",715,1416,1045,3,313,283,278,171,4.70351376917845,0.0873262176697568,11.4513146988882
"26163505100","26163505100",1,"Census Tract 5051; Wayne County; Michigan",1441,2888,2253,3,692,495,637,429,10.0762517604259,0.187077363372941,5.34538215618578
"26163505200","26163505200",1,"Census Tract 5052; Wayne County; Michigan",1340,2943,2204,2,731,506,548,419,9.8811315312365,0.183454728797567,5.45093607864122
"26163505400","26163505400",1,"Census Tract 5054; Wayne County; Michigan",900,1927,1417,2,459,352,351,255,6.36640599240953,0.118199750814019,8.46025472230858
"26163505600","26163505600",1,"Census Tract 5056; Wayne County; Michigan",1794,4078,2992,3,980,706,806,500,13.4148077122008,0.249061547549843,4.01507181593288
"26163505700","26163505700",1,"Census Tract 5057; Wayne County; Michigan",1635,2936,2299,5,611,540,631,517,10.2986780007827,0.191206965885882,5.2299349836283
"26163506100_26163505800","26163505800,26163506100",2,"Census Tract 5058; Wayne County; Michigan | Census Tract 5061; Wayne County; Michigan",1943,5212,3600,5,1364,874,806,556,16.1841350688584,0.300477339107849,3.32803799104822
"26163506200_26163506300","26163506200,26163506300",2,"Census Tract 5062; Wayne County; Michigan | Census Tract 5063; Wayne County; Michigan",1604,3674,2714,3,891,655,677,491,12.1835294500518,0.226201430877697,4.4208385248486
"26163506400","26163506400",1,"Census Tract 5064; Wayne County; Michigan",342,842,697,2,206,179,209,103,3.12872429058288,0.0580884147120971,17.215136700774
"26163506500","26163506500",1,"Census Tract 5065; Wayne County; Michigan",932,1963,1459,2,423,362,408,266,6.54632088868462,0.121540080653618,8.22773849270303
"26163506600","26163506600",1,"Census Tract 5066; Wayne County; Michigan",1257,2713,1970,2,629,468,529,344,8.83378572446425,0.164009532634428,6.09720657048006
"26163506700_26163506800","26163506700,26163506800",2,"Census Tract 5067; Wayne County; Michigan | Census Tract 5068; Wayne County; Michigan",2094,4927,3676,4,1131,885,971,689,16.4902375827117,0.306160489209201,3.26626078558653
"26163506900","26163506900",1,"Census Tract 5069; Wayne County; Michigan",1459,3579,2551,3,850,633,579,489,11.4692743160636,0.212940451456074,4.69614858596411
"26163507000","26163507000",1,"Census Tract 5070; Wayne County; Michigan",1183,2720,1886,2,634,467,449,336,8.47628051003058,0.157372031458545,6.35436926582106
"26163507100","26163507100",1,"Census Tract 5071; Wayne County; Michigan",1060,2266,1690,2,513,389,472,316,7.56806597113827,0.140509969517988,7.11693272321136
"26163507200_26163507300","26163507200,26163507300",2,"Census Tract 5072; Wayne County; Michigan | Census Tract 5073; Wayne County; Michigan",1605,3288,2437,3,748,550,623,516,10.9158375681116,0.202665252893927,4.93424494687992
"26163507400","26163507400",1,"Census Tract 5074; Wayne County; Michigan",1206,2488,1891,2,590,438,519,344,8.47154620044805,0.15728413348069,6.35792039457539
"26163507500","26163507500",1,"Census Tract 5075; Wayne County; Michigan",1072,2221,1681,2,474,377,419,411,7.52798436877912,0.139765807832929,7.15482574389983
"26163508000","26163508000",1,"Census Tract 5080; Wayne County; Michigan",629,1098,835,2,270,210,270,85,3.7441682133846,0.0695148487789626,14.3854157430409
"26163508100","26163508100",1,"Census Tract 5081; Wayne County; Michigan",679,1271,963,2,277,252,259,175,4.32897203590401,0.0803724136561152,12.4420799937481
"26163509000","26163509000",1,"Census Tract 5090; Wayne County; Michigan",1090,1975,1511,4,456,391,401,263,6.79176558898296,0.126097047716113,7.93039978423076
"26163509100","26163509100",1,"Census Tract 5091; Wayne County; Michigan",1440,4563,3214,5,1293,771,778,372,14.4391901666419,0.268080402300475,3.73022418430707
"26163510600","26163510600",1,"Census Tract 5106; Wayne County; Michigan",1636,5499,3661,3,1424,968,815,454,16.5018553660383,0.306376186903606,3.26396124354999
"26163511200","26163511200",1,"Census Tract 5112; Wayne County; Michigan",736,1188,940,2,351,227,199,163,4.22658300958292,0.0784714419914631,12.743489537363
"26163511300","26163511300",1,"Census Tract 5113; Wayne County; Michigan",822,2231,1511,2,582,375,324,230,6.79947353662229,0.126240154751911,7.92140980787942
"26163511400","26163511400",1,"Census Tract 5114; Wayne County; Michigan",1303,2005,1675,3,508,330,436,401,7.47631922916947,0.1388065842718,7.20426920124968
"26163511900","26163511900",1,"Census Tract 5119; Wayne County; Michigan",1234,1559,1320,2,499,272,397,152,5.89489999508841,0.109445692172908,9.1369516711553
"26163512800","26163512800",1,"Census Tract 5128; Wayne County; Michigan",1357,2415,1819,3,529,427,564,299,8.14136253043691,0.151153888635372,6.6157742220731
"26163513200","26163513200",1,"Census Tract 5132; Wayne County; Michigan",915,1504,1183,2,326,302,338,217,5.31064505612798,0.0985983179590551,10.1421608471584
"26163513300","26163513300",1,"Census Tract 5133; Wayne County; Michigan",1080,1971,1669,2,404,354,455,456,7.45541907765079,0.138418548588178,7.2244652916799
"26163513700","26163513700",1,"Census Tract 5137; Wayne County; Michigan",1479,2982,2307,3,580,457,609,661,10.2922008598676,0.191086710212106,5.23322631327945
"26163513800","26163513800",1,"Census Tract 5138; Wayne County; Michigan",1636,2367,1945,2,718,360,534,333,8.67107642496139,0.160988644761539,6.21161822612539
"26163513900","26163513900",1,"Census Tract 5139; Wayne County; Michigan",905,1556,1165,2,380,238,325,222,5.2025162788596,0.0965907811252141,10.3529548922859
"26163514100","26163514100",1,"Census Tract 5141; Wayne County; Michigan",1021,1732,1304,2,389,285,373,257,5.83010009344311,0.108242606438762,9.23850628602282
"26163514200","26163514200",1,"Census Tract 5142; Wayne County; Michigan",1108,1828,1485,2,368,286,423,408,6.61626218022265,0.122838622286253,8.14076209410489
"26163514300","26163514300",1,"Census Tract 5143; Wayne County; Michigan",1040,2163,1726,2,390,331,518,487,7.68401749940384,0.142662744845832,7.00953848238831
"26163514500_26163515200","26163514500,26163515200",2,"Census Tract 5145; Wayne County; Michigan | Census Tract 5152; Wayne County; Michigan",1131,2176,1774,3,464,339,502,469,7.90399487763042,0.146746881377825,6.81445486684877
"26163515300","26163515300",1,"Census Tract 5153; Wayne County; Michigan",1906,2708,2439,2,703,418,713,605,10.8414915788016,0.201284932911045,4.96808174132902
"26163515400","26163515400",1,"Census Tract 5154; Wayne County; Michigan",725,1358,1128,2,330,302,237,259,5.08363712566369,0.094383651026774,10.5950552783376
"26163515700","26163515700",1,"Census Tract 5157; Wayne County; Michigan",3906,4618,4417,3,1048,578,1168,1623,19.5478381154871,0.362928408423552,2.75536435503544
"26163516000","26163516000",1,"Census Tract 5160; Wayne County; Michigan",1080,2235,1722,2,537,386,465,334,7.70877856446699,0.143122462891436,6.98702341894815
"26163516400_26163516500","26163516400,26163516500",2,"Census Tract 5164; Wayne County; Michigan | Census Tract 5165; Wayne County; Michigan",2667,3657,3419,3,1316,742,777,584,15.3238553011373,0.284505242088556,3.51487372485298
"26163516600","26163516600",1,"Census Tract 5166; Wayne County; Michigan",1436,2377,1679,3,638,319,377,345,7.50185839228473,0.139280748615045,7.17974314428676
"26163516700","26163516700",1,"Census Tract 5167; Wayne County; Michigan",1881,3218,2604,3,699,502,712,691,11.608518711928,0.215525686031601,4.63981819713765
"26163516800_26163516900","26163516800,26163516900",2,"Census Tract 5168; Wayne County; Michigan | Census Tract 5169; Wayne County; Michigan",1989,2680,2422,3,377,318,772,955,10.6926862898501,0.198522189206852,5.03722029257919
"26163517000","26163517000",1,"Census Tract 5170; Wayne County; Michigan",2430,2978,2852,2,1280,485,474,613,12.7446496652687,0.236619281968945,4.22619826955288
"26163517100_26163517200","26163517100,26163517200",2,"Census Tract 5171; Wayne County; Michigan | Census Tract 5172; Wayne County; Michigan",2096,3310,3129,3,1213,640,741,535,13.9999829235942,0.2599260076945,3.84724871847119
"26163517300","26163517300",1,"Census Tract 5173; Wayne County; Michigan",1333,2131,1683,2,699,428,302,254,7.58914607272867,0.140901346184523,7.09716427187579
"26163517500","26163517500",1,"Census Tract 5175; Wayne County; Michigan",2126,2856,2528,2,780,344,655,749,11.2043946790333,0.208022652130989,4.80716878549512
"26163518000","26163518000",1,"Census Tract 5180; Wayne County; Michigan",1526,2280,2016,2,878,387,401,350,9.0216078868044,0.167496670088814,5.97026794305676
"26163518900_26163519000","26163518900,26163519000",2,"Census Tract 5189; Wayne County; Michigan | Census Tract 5190; Wayne County; Michigan",1652,3212,2341,3,714,474,610,543,10.4557400439461,0.194123005859833,5.1513729429991
"26163519100","26163519100",1,"Census Tract 5191; Wayne County; Michigan",712,1037,861,2,210,173,263,215,3.83724426834832,0.0712429142709499,14.0364836311555
"26163519200","26163519200",1,"Census Tract 5192; Wayne County; Michigan",832,1440,1164,3,276,290,350,248,5.21729494932362,0.0968651643750874,10.3236287931927
"26163519300","26163519300",1,"Census Tract 5193; Wayne County; Michigan",699,1208,1057,2,254,195,327,281,4.70097426367836,0.0872790687889504,11.4575007945846
"26163520200","26163520200",1,"Census Tract 5202; Wayne County; Michigan",1063,3650,3550,2,3241,137,96,76,15.7597554373582,0.292598236400031,3.41765559595797
"26163520300","26163520300",1,"Census Tract 5203; Wayne County; Michigan",1676,2622,2505,3,1809,312,231,153,11.1896940654173,0.207749718097518,4.81348426923303
"26163520400","26163520400",1,"Census Tract 5204; Wayne County; Michigan",1379,1940,1583,3,906,333,228,116,7.12041169722277,0.132198745934269,7.56436827696696
"26163520700","26163520700",1,"Census Tract 5207; Wayne County; Michigan",3303,3151,3067,4,1776,466,412,413,13.7071589799261,0.25448938973215,3.92943690521833
"26163520800_26163521100","26163520800,26163521100",2,"Census Tract 5208; Wayne County; Michigan | Census Tract 5211; Wayne County; Michigan",1920,2786,2444,3,832,567,574,471,10.9657539440203,0.203592008617798,4.91178414511001
"26163521400","26163521400",1,"Census Tract 5214; Wayne County; Michigan",978,1403,1211,2,604,289,192,126,5.45871966950731,0.101347495819246,9.86704202128
"26163521500","26163521500",1,"Census Tract 5215; Wayne County; Michigan",705,1354,1031,2,413,224,254,140,4.61902348937663,0.0857575571051167,11.660779921404
"26163521800_26163521900","26163521800,26163521900",2,"Census Tract 5218; Wayne County; Michigan | Census Tract 5219; Wayne County; Michigan",2431,4409,3588,6,1407,643,737,801,16.0225471384131,0.29747727075909,3.36160136688172
"26163522000","26163522000",1,"Census Tract 5220; Wayne County; Michigan",915,1789,1341,2,463,300,372,206,6.00343719612701,0.111460811870287,8.97176310866779
"26163522300","26163522300",1,"Census Tract 5223; Wayne County; Michigan",1005,1193,982,3,257,192,368,165,4.36511791322,0.0810435040164846,12.3390518726411
"26163522400_26163522500","26163522400,26163522500",2,"Census Tract 5224; Wayne County; Michigan | Census Tract 5225; Wayne County; Michigan",1873,2366,1795,3,525,388,551,331,8.01745615951055,0.148853422377765,6.71801819552507
"26163522800","26163522800",1,"Census Tract 5228; Wayne County; Michigan",648,1186,913,2,293,242,248,130,4.10678638787164,0.0762472780202181,13.1152222868184
"26163523100_26163523200","26163523100,26163523200",2,"Census Tract 5231; Wayne County; Michigan | Census Tract 5232; Wayne County; Michigan",1732,4583,3200,4,1291,924,659,326,14.4738436940873,0.268723785445338,3.72129321690957
"26163523300","26163523300",1,"Census Tract 5233; Wayne County; Michigan",1057,2914,2023,3,801,589,421,212,9.15145629901498,0.169907457271596,5.88555685582127
"26163523400","26163523400",1,"Census Tract 5234; Wayne County; Michigan",1260,2196,1669,2,627,447,373,222,7.52478510870218,0.139706409839095,7.15786771094995
"26163523800","26163523800",1,"Census Tract 5238; Wayne County; Michigan",1270,3759,2544,4,1063,729,522,230,11.5056414013041,0.213615648799503,4.68130497751402
"26163524001","26163524001",1,"Census Tract 5240.01; Wayne County; Michigan",1013,2553,1797,3,666,550,367,214,8.14205943257195,0.151166827436133,6.61520795905101
"26163524101","26163524101",1,"Census Tract 5241.01; Wayne County; Michigan",1519,3730,2583,2,897,714,607,365,11.6499176004184,0.216294304669711,4.62333024222267
"26163524200","26163524200",1,"Census Tract 5242; Wayne County; Michigan",1463,4366,2884,3,1122,901,577,284,13.0806488632345,0.242857498871954,4.11764102259509
"26163524300","26163524300",1,"Census Tract 5243; Wayne County; Michigan",880,2626,1776,3,672,555,382,167,8.0507995439223,0.149472481189512,6.69019469029972
"26163524500","26163524500",1,"Census Tract 5245; Wayne County; Michigan",39,83,71,3,20,17,21,13,0.318062615460086,0.00590520333378998,169.342179003038
"26163524600_26163524700","26163524600,26163524700",2,"Census Tract 5246; Wayne County; Michigan | Census Tract 5247; Wayne County; Michigan",2524,5169,3970,4,1071,911,1158,830,17.7642125798665,0.329813320553373,3.03201822874274
"26163524800","26163524800",1,"Census Tract 5248; Wayne County; Michigan",1174,2586,1958,2,536,466,527,429,8.77640653119883,0.162944221004292,6.13706944521621
"26163525400","26163525400",1,"Census Tract 5254; Wayne County; Michigan",844,1795,1312,2,413,288,395,216,5.86473481531324,0.108885640436192,9.1839474516018
"26163525700","26163525700",1,"Census Tract 5257; Wayne County; Michigan",1483,4403,2906,4,1057,956,606,287,13.1989440480797,0.245053786917026,4.0807367744886
"26163525800","26163525800",1,"Census Tract 5258; Wayne County; Michigan",640,1781,1140,2,460,352,233,95,5.16844554410951,0.0959582182063064,10.4212022554445
"26163525900","26163525900",1,"Census Tract 5259; Wayne County; Michigan",962,2610,1771,3,634,547,382,208,8.02307531349665,0.148957748523746,6.71331306971643
"26163526000","26163526000",1,"Census Tract 5260; Wayne County; Michigan",965,3043,1948,2,834,538,383,193,8.80277341424328,0.163433752933188,6.11868712583993
"26163526100","26163526100",1,"Census Tract 5261; Wayne County; Michigan",747,2753,1679,2,741,468,284,186,7.59674223465435,0.141042377788199,7.09006764975053
"26163526200","26163526200",1,"Census Tract 5262; Wayne County; Michigan",875,3026,1869,3,810,580,300,179,8.48875191364331,0.157603577608929,6.34503362913094
"26163526300","26163526300",1,"Census Tract 5263; Wayne County; Michigan",1106,3345,2104,3,827,685,390,202,9.56193802382424,0.177528529136006,5.63289745522475
"26163526400","26163526400",1,"Census Tract 5264; Wayne County; Michigan",508,1417,964,2,363,265,205,131,4.35127798653202,0.0807865496394383,12.3782981754158
